'Problem56.I01_walsh_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.formalLog_cumulant_ambient_partition' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.formalLogMomentCoefficient' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.formalLog_lift_cumulant_product' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.formalLog_ambient_moment_inverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.formalExpLogMoment' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.formalLogMomentInterface' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.formalLog_avoid_parts' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.formalLogInsertBlock_parts' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.formalLogInsertBlock_notMem' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.formalLogInsertBlock_avoid' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.formalLogPointedOfSplit_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.formalLogPointedOfSplit_surjective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.formalLog_sum_nonempty_subsets' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.formalLog_convolution_partition_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.squarefreePow_partition_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.squarefreePow_partition' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.squarefreePowerCoefficient' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.constructionAdjacent_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.transGen_rank_lt_of_rel' does not depend on any axioms
'Problem56.PaperV6.GeneralBridgelessState.activateEdge_remaining_lt' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.GeneralBridgelessState.active_edge_endpoints' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.GeneralBridgelessState.active_adjacency_iff' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.GeneralBridgelessState.activeRetract_coe' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.GeneralBridgelessState.activeRetract_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.GeneralBridgelessState.activeGraph_dag' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.activeSplitEdgeEmbed_src' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.activeSplitEdgeEmbed_dst' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.activeSplitEdgeEmbed_active' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.activeSplitEdgeEmbed_surjective_active' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.activeSplitEmbed_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.activeSplitRetract_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.activeSplitEmbed_input' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.activeSplitEmbed_output' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.activeSplit_partial_acyclic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.activeSplit_partial_from_input' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.activeSplit_partial_to_output' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.activeSplit_inl_active_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.activeSplit_inr_active' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.activeSplit_proper_is_true' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.activeSplit_proper_is_active' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.activeSplitRetract_embed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.activeSplitEmbed_retract' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.activeSplitCopy_eq_root_of_inactive' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.activeSplit_outside_fiber_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.GeneralBridgelessState.splitActive_used' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.GeneralBridgelessState.splitActive_active' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.GeneralBridgelessState.splitActive_remaining' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.GeneralBridgelessState.all_vertices_active_of_all_used' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.GeneralBridgelessState.adjacency_eq_of_all_used' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.GeneralBridgelessState.dag_of_all_used' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.GeneralBridgelessState.endpoints_distinct' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.GeneralBridgelessState.completed_modification' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.generalBridgeless_state_progress' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.generalBridgeless_modification' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.OriginalFreshEar.currentTail_projection' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.OriginalFreshEar.currentHead_projection' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.OriginalFreshEar.currentPoint_castSucc' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.OriginalFreshEar.currentPoint_last' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.OriginalFreshEar.currentPoint_projection' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.OriginalFreshEar.currentPoint_succ' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.OriginalFreshEar.point_eq_or_endpoints' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.incomingOutgoing_identity_step' depends on axioms: [propext]
'Problem56.PaperV6.transGen_strict_rank' does not depend on any axioms
'Problem56.PaperV6.incomingOutgoing_edge_rank_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.incomingOutgoing_lift_false' depends on axioms: [propext, Quot.sound]
'Problem56.PaperV6.incomingOutgoing_lift_true' depends on axioms: [propext, Quot.sound]
'Problem56.PaperV6.incomingOutgoing_mingoAdmissibleDAG' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.StateFreshEar.original_endpoints_new_active' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.GeneralBridgelessState.activateEar_used' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.GeneralBridgelessState.activateEar_active' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.GeneralBridgelessState.activateEar_remaining_lt' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.adjoinedEarPoint_zero' depends on axioms: [propext, Quot.sound]
'Problem56.PaperV6.adjoinedEarPoint_last' depends on axioms: [propext, Quot.sound]
'Problem56.PaperV6.adjoinedEarPoint_internal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.adjoinedEar_step' depends on axioms: [propext, Quot.sound]
'Problem56.PaperV6.adjoinedEar_from_start' depends on axioms: [propext, Quot.sound]
'Problem56.PaperV6.adjoinedEar_to_end' depends on axioms: [propext, Quot.sound]
'Problem56.PaperV6.adjoinedEarPoint_rank_before_last' depends on axioms: [propext, Quot.sound]
'Problem56.PaperV6.adjoinedEar_edge_rank_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.adjoinedEar_lift_old_walk' depends on axioms: [propext, Quot.sound]
'Problem56.PaperV6.adjoinedEar_mingoAdmissibleDAG' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.StateFreshEar.vertexEmbed_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.StateFreshEar.vertexRetract_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.StateFreshEar.adjoined_dag' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.StateFreshEar.partial_acyclic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.StateFreshEar.partial_from_input' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.StateFreshEar.partial_to_output' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.StateFreshEar.vertexEmbed_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.StateFreshEar.vertexEmbed_point' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.StateFreshEar.vertexEmbed_surjective_active' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.StateFreshEar.vertexRetract_embed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.StateFreshEar.vertexEmbed_retract' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.StateFreshEar.edgeEmbed_src' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.StateFreshEar.edgeEmbed_dst' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.StateFreshEar.edgeEmbed_active' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.StateFreshEar.edgeEmbed_surjective_active' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.exists_unused_edge_at_old_vertex' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.exists_fresh_ear_path' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.VertexSimpleIndexedPath.edge_injective' depends on axioms: [propext, Quot.sound]
'Problem56.PaperV6.exists_vertexSimpleIndexedPath' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.initial_state_adjacency' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.exists_initial_generalBridgelessState' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.exists_originalFreshEar' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.VertexSimpleIndexedPath.globalReversal_edge' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.VertexSimpleIndexedPath.pointRank_point' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.VertexSimpleIndexedPath.path_acyclic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.VertexSimpleIndexedPath.path_from_start' depends on axioms: [propext]
'Problem56.PaperV6.VertexSimpleIndexedPath.path_to_end' depends on axioms: [propext, Quot.sound]
'Problem56.PaperV6.VertexSimpleIndexedPath.edge_endpoints_mem' does not depend on any axioms
'Problem56.PaperV6.exists_first_hit_walk' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.exists_unused_return_walk' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.GeneralBridgelessState.remaining_lt_of_used_subset' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.GeneralBridgelessState.remaining_eq_zero_iff' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.exists_completed_state_of_strict_progress' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.reverseState_active_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.reverseState_adjacency' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.GeneralBridgelessState.reverseUnused_remaining' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.exists_simple_chain_of_walk' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.exists_simple_unused_return_path' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.activeSplitVertex_ext' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.OriginalFreshEar.splitPoint_fst' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.OriginalFreshEar.splitPoint_side' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.OriginalFreshEar.splitPoint_projection' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.OriginalFreshEar.splitPoint_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.OriginalFreshEar.split_tail' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.OriginalFreshEar.split_head' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.OriginalFreshEar.exists_progress' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.OriginalFreshEar.edge_not_active' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.OriginalFreshEar.last_source_active' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.OriginalFreshEar.last_target_active' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.OriginalFreshEar.splitRouting_source' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.OriginalFreshEar.splitRouting_target' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.distinctDAGRank_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.distinctDAGRank_edge_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.distinctDAGRank_orders_endpoints' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.StateUnorientedEar.reversal_edge' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.StateUnorientedEar.reversal_fixed' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.StateUnorientedEar.oriented_ordered' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.StateUnorientedEar.exists_progress' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.generalCumulantIdentities' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measure_jointCumulant_two_factors_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measure_jointCumulant_twoFamily_blockProducts_zero' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.finiteJointMoments_subtype' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measure_indep_family_products' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measure_jointCumulant_subtype_univ' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measure_independent_families_mixed_cumulant_vanish' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.PaperV6.generalMixedIndependence' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measure_product_jointCumulant_expansion' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.measure_blockMomentProduct_liftBlockPartition' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
